Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.0019,0.0004,0.8801,0.0000,0.0019,0.0001,0.0009,0.0000,0.0001,0.0000
2,0.0000,0.0011,0.0012,0.0000,0.0000,0.0000,0.0021,0.0000,0.8844,0.0000
3,0.8030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0.9977,0.0048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,0.9974,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,0.0186,0.0000,0.0000,0.0000,0.0390,0.0000,0.0000,0.0007,0.0000,0.0000
7,0.0004,0.0006,0.0001,0.0001,0.0053,0.0013,0.0179,0.0000,0.8165,0.0000
8,0.9585,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000
9,0.9882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,0.3362,0.8057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,0.7820,0.0653,0.0007,0.0033,0.0297,0.0004,0.0265,0.0063,0.0001,0.0017
12,0.0016,0.0000,0.0000,0.0000,0.0508,0.0000,0.0003,0.0008,0.0000,0.0767
13,0.9904,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,0.0004,0.0025,0.0000,0.4479,0.0000,0.0012,0.0003,0.0002,0.0002,0.0026
15,0.0086,0.0042,0.0000,0.7060,0.0005,0.0045,0.0008,0.0000,0.0000,0.0005
16,0.0276,0.0000,0.0000,0.0001,0.0002,0.0000,0.0121,0.4194,0.0000,0.0004
17,0.0021,0.1717,0.2505,0.0009,0.0005,0.0003,0.0022,0.0000,0.0014,0.0000
18,1.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,0.0017,0.0000,0.9231,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000
20,0.4578,0.6198,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000
21,0.0417,0.9970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,0.5566,0.0002,0.0002,0.0010,0.0010,0.0007,0.0023,0.0003,0.0000,0.0003
23,0.1982,0.0001,0.0000,0.0789,0.0000,0.0001,0.0000,0.0000,0.0000,0.0002
24,0.0425,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000
25,0.0481,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0001,0.0006,0.0000,0.9413,0.0000,0.0001,0.0002,0.0000,0.0000,0.0002
27,0.0005,0.6495,0.0416,0.0003,0.0000,0.0002,0.0007,0.0000,0.0002,0.0000
28,0.0011,0.0000,0.0000,0.0000,0.0080,0.0000,0.0000,0.9074,0.0000,0.0000
29,0.3693,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0365,0.0000,0.0000
30,0.9789,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000
31,0.0001,0.0000,0.0000,0.9704,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003
32,0.9904,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.0458,0.0066,0.0000,0.0000,0.0000,0.0000,0.0813,0.0042,0.0000,0.0004
34,0.0054,0.0007,0.0005,0.0001,0.0045,0.0110,0.0000,0.0001,0.0123,0.0023
35,0.0002,0.0004,0.0000,0.9541,0.0000,0.0002,0.0001,0.0000,0.0000,0.0002
36,0.0165,0.0022,0.0011,0.0165,0.0000,0.0007,0.0000,0.0016,0.0000,0.0208
37,0.9899,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,0.9994,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,0.9985,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,0.0141,0.0345,0.0017,0.0050,0.0000,0.0001,0.0073,0.0003,0.0005,0.0054
